seed,policy,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,ig_mode,budget,success_95,correct_argmax,n95,c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h
7,oracle,8,8,10,0.75,0.0,proxy,35,1,1,4,5.537525233303345,0.9867091978502011,320,2,0.0032500080000019693,4
0,passive,8,8,10,0.75,0.35,proxy,35,0,0,36,44.267592700211566,0.125,0,0,0.000560818000000296,3
0,fixed_oed,8,8,10,0.75,0.35,proxy,35,0,0,36,61.73845141781228,0.125,350,0,0.0027806850000011707,3
0,random_orientation,8,8,10,0.75,0.35,proxy,35,0,1,36,66.90992994816663,0.8839113385380305,0,33,0.0005555400000005761,3
0,generic_oed,8,8,10,0.75,0.35,proxy,35,1,1,2,1.198908354980727,0.9954164719797294,160,1,0.0010895590000004063,3
0,oarl_no_stability,8,8,10,0.75,0.35,proxy,35,1,1,3,1.7641825227303207,0.9865358339527517,240,1,0.001880986999999834,3
0,full_oarl,8,8,10,0.75,0.35,proxy,35,1,1,3,1.7641825227303207,0.9940438946919586,240,1,0.0017824210000014773,3
0,oracle,8,8,10,0.75,0.35,proxy,35,1,1,3,1.7641825227303207,0.9988856907952987,240,1,0.0025518869999991978,3
1,passive,8,8,10,0.75,0.35,proxy,35,0,0,36,29.128851783549756,0.125,0,0,0.0005343989999992971,6
1,fixed_oed,8,8,10,0.75,0.35,proxy,35,0,0,36,30.604168810350437,0.125,350,0,0.002786001999997012,6
1,random_orientation,8,8,10,0.75,0.35,proxy,35,1,1,2,2.987096314721522,0.9951236347867602,0,1,4.480699999831472e-05,6
1,generic_oed,8,8,10,0.75,0.35,proxy,35,1,1,2,2.3719226446729182,0.9979812491203885,160,0,0.0011207950000020617,6
1,oarl_no_stability,8,8,10,0.75,0.35,proxy,35,1,1,2,2.3719226446729182,0.9996159905118114,160,0,0.0011052310000003729,6
1,full_oarl,8,8,10,0.75,0.35,proxy,35,1,1,2,2.3719226446729182,0.9997416955345326,160,0,0.0011597820000019965,6
1,oracle,8,8,10,0.75,0.35,proxy,35,1,1,2,2.170809929711873,0.9991685730614491,160,0,0.0019257630000026893,6
