seed,n_mechanisms,base_noise,perturbation_scale,fixed_oed,full_oarl,generic_oed,oarl_no_stability,oracle,passive,random_orientation,relative_cost_reduction
4,8,0.75,0.0,72.15938800970312,31.263947153560114,3.7665931392029828,7.858802698816772,4.466849769172716,58.58484958223396,11.563922303435623,-7.300324988160419
4,8,0.75,0.35,72.15938800970312,31.58200100080241,4.466849769172716,6.0613872763911845,2.6648664607578043,54.66736317899713,38.73045527713934,-6.070307405178654
4,8,1.5,0.0,72.15938800970312,31.162290131382072,18.099482272324686,11.250428364056297,20.428837211953994,58.58484958223396,40.36093419701848,-0.7217227356293661
4,8,1.5,0.35,72.15938800970312,31.605505986913723,20.357489006361853,10.017758783758822,19.752583650320386,54.66736317899713,42.11742667768951,-0.5525247724332205
4,16,0.75,0.0,18.278014872455802,16.79994562775489,19.225805549069847,18.308986525747542,15.399921229350666,21.429390354050703,49.59885244513218,0.1261772837098272
4,16,0.75,0.35,18.278014872455802,17.62548095558608,23.912046550098374,28.40545733648082,15.043485120031121,21.005494647620424,45.29447424616753,0.2629037034258546
4,16,1.5,0.0,18.278014872455802,14.848815894019294,35.753715320033464,18.308986525747542,18.742085864836646,21.429390354050703,49.59885244513218,0.5846916673943747
4,16,1.5,0.35,18.278014872455802,16.09803775489428,35.47957514567243,19.491209939020912,19.79031238290679,21.005494647620424,45.29447424616753,0.5462730968790134
5,8,0.75,0.0,31.670155545743707,3.6377619117212294,8.677060780141652,3.6377619117212294,5.60664556495659,35.9852741329849,34.5763257104046,0.580761042950555
5,8,0.75,0.35,31.670155545743707,6.3216927869013375,8.052444736462512,1.6943890397930392,4.331916381974924,33.38549710517446,44.465444886492186,0.21493496772776416
5,8,1.5,0.0,31.670155545743707,22.17136978206124,22.005858186218347,5.7282524681760245,15.145376189971143,35.9852741329849,38.60887212968615,-0.007521251588658739
5,8,1.5,0.35,31.670155545743707,22.368546004722894,27.79444401018658,4.8658113107788425,10.51505997217412,33.38549710517446,44.465444886492186,0.19521520212727086
5,16,0.75,0.0,25.615181245105966,19.786134719778488,5.68317947660423,6.997266670438489,8.3924639482742,31.40911915427812,17.990470509813086,-2.4815255793401314
5,16,0.75,0.35,25.615181245105966,17.282183895627007,17.9632843324507,12.264175793334726,10.626020804161096,30.41255216371629,27.703017776562763,0.03791625318724624
5,16,1.5,0.0,25.615181245105966,15.779692457451025,14.907403177839333,16.934058567224376,18.080363345501702,31.40911915427812,35.29812849966187,-0.058513831631547865
5,16,1.5,0.35,25.615181245105966,15.641773425299597,33.920256093980825,14.50531609283498,14.551371040661499,30.41255216371629,41.61067072525114,0.5388662932861747
6,8,0.75,0.0,36.29874277658159,4.267699915935282,2.6030012420897224,5.388485298967633,6.429576301165709,42.07490431876934,6.806500994719364,-0.6395304953865939
6,8,0.75,0.35,36.29874277658159,29.42222652241965,4.367130807469998,2.9924804031327907,7.942058997855117,40.83543528930649,37.176744535273016,-5.737198361929711
6,8,1.5,0.0,36.29874277658159,30.739693110963398,9.861234396454634,13.02419159586665,13.121822561551882,42.07490431876934,29.345948283006127,-2.1172256814030406
6,8,1.5,0.35,36.29874277658159,31.293073485378063,9.471727426956555,11.32034624828312,14.958200470501144,40.83543528930649,42.07773231526473,-2.3038401629166305
6,16,0.75,0.0,20.83183252185793,18.56667517500524,19.039460193086963,7.616490153095571,9.327524494303258,26.878285505348657,41.39874659598808,0.024831849920481795
6,16,0.75,0.35,20.83183252185793,18.766742389396665,25.34965322043282,4.785458085906474,8.197465073218487,28.048524986231282,38.48863370967059,0.2596844530295219
6,16,1.5,0.0,20.83183252185793,18.589108599450583,42.01629167746406,13.925557097184603,21.40545299240338,26.878285505348657,41.39874659598808,0.5575737920388373
6,16,1.5,0.35,20.83183252185793,18.499833303073377,43.236398622595075,15.18140333868946,24.832478022570484,28.048524986231282,38.48863370967059,0.572123629801917
7,8,0.75,0.0,50.849148028269944,27.057753600992857,5.537525233303345,3.342798145689874,5.537525233303345,48.492537143215635,6.771393354827867,-3.886253779624201
7,8,0.75,0.35,50.849148028269944,5.239915177276149,5.08608931582067,1.8971170315862746,5.537525233303345,45.70608146032505,3.044489464912075,-0.03024442787054323
7,8,1.5,0.0,50.849148028269944,26.068788334410474,17.57559464663101,24.661989209241373,14.806832029979336,48.492537143215635,35.13779313987978,-0.4832379136262958
7,8,1.5,0.35,50.849148028269944,27.071962017002246,10.163250145670494,14.505043029605687,14.806832029979336,45.70608146032505,36.68530422806759,-1.663711079524575
7,16,0.75,0.0,38.76396391243376,4.391905403205168,6.690119111012054,7.054883722174964,6.915708336941501,56.66343592471422,34.45469008839089,0.34352358600372085
7,16,0.75,0.35,38.76396391243376,13.45443520505183,4.2327189951626245,25.44825712869559,4.391905403205168,62.588540787326195,36.841746142953255,-2.178674327407104
7,16,1.5,0.0,38.76396391243376,20.57487138913007,14.884632271041806,28.502816396941732,7.942543161831562,56.66343592471422,36.386496253264816,-0.3822895328867935
7,16,1.5,0.35,38.76396391243376,20.57487138913007,12.22165395207201,16.74843564858001,9.717862041144759,62.588540787326195,36.841746142953255,-0.6834768411718848
