policy,n_mechanisms,base_noise,perturbation_scale,runs,success_rate,correct_rate,median_n95,mean_n95,median_c95,mean_c95,median_posterior_true,mean_score_evals,mean_runtime_s,mean_orientation_switches
full_oarl,16,1.5,0.35,8,0.0,0.125,36.0,36.0,15.954713893793805,16.68421565624419,0.14020162657293422,2800.0,0.021215726125000778,2.125
generic_oed,8,0.75,0.0,8,1.0,1.0,3.5,4.0,4.6520591862531635,5.116339914474845,0.9664217925888412,320.0,0.0022092848750006056,2.25
generic_oed,8,0.75,0.35,8,1.0,1.0,4.0,4.5,4.776469542496693,6.120069764609784,0.9766120440998809,360.0,0.0024528697500003638,2.125
generic_oed,8,1.5,0.0,8,1.0,1.0,12.5,13.125,17.837538459477848,16.617741970952448,0.9741988819546084,1050.0,0.007099604499999135,5.125
generic_oed,8,1.5,0.35,8,0.875,0.875,12.0,14.25,14.532175753959972,19.699069472736035,0.9737110891943985,1130.0,0.008093822124998873,4.75
generic_oed,16,0.75,0.0,8,0.875,0.875,17.0,17.125,14.274156071638897,16.521046373492712,0.9570059555844612,1360.0,0.009393706000000002,6.75
generic_oed,16,0.75,0.35,8,0.875,0.875,20.0,21.0,20.93766544127454,19.585683327537083,0.9711692912327508,1670.0,0.011310774500000065,7.125
generic_oed,16,1.5,0.0,8,0.25,0.5,36.0,30.75,33.559107623715434,33.63451024830216,0.6514579855249313,2400.0,0.01636739549999877,10.625
generic_oed,16,1.5,0.35,8,0.25,0.625,36.0,31.625,34.699915619826626,34.08206401628088,0.4738639153305091,2470.0,0.016660618500000446,10.0
oarl_no_stability,8,0.75,0.0,8,1.0,1.0,4.0,4.375,4.284778655367689,4.34374477418617,0.9767934590556395,350.0,0.0024207536250009376,2.375
oarl_no_stability,8,0.75,0.35,8,1.0,1.0,3.5,4.75,2.6822015239028545,4.389437035810599,0.9804566496687972,380.0,0.0027381543750002457,2.0
oarl_no_stability,8,1.5,0.0,8,0.625,1.0,25.5,23.25,12.137309979961474,12.88637605226965,0.9567823866966698,1830.0,0.012592772000000085,6.875
oarl_no_stability,8,1.5,0.35,8,0.875,0.875,18.0,19.625,10.345637048006667,10.166091093747106,0.9656171732270669,1560.0,0.010792171499999448,4.5
oarl_no_stability,16,0.75,0.0,8,0.625,0.875,14.0,19.75,9.417191673026908,11.99178853094171,0.9547342252721924,1550.0,0.010859126375000638,5.5
oarl_no_stability,16,0.75,0.35,8,0.5,0.75,32.0,26.875,17.714204380163814,18.7058949718909,0.9474478493880164,2110.0,0.014469437374999394,9.5
oarl_no_stability,16,1.5,0.0,8,0.0,0.5,36.0,36.0,20.98734243372575,21.585922997745804,0.5381872386847811,2800.0,0.020352847250001638,11.0
oarl_no_stability,16,1.5,0.35,8,0.125,0.5,36.0,34.125,18.24814710656942,18.498769066042613,0.5661175100283004,2660.0,0.018341275624998765,7.0
oracle,8,0.75,0.0,8,1.0,1.0,4.0,4.375,5.572085399129968,5.479839388924976,0.9842046761175458,350.0,0.0036837327499998906,1.875
oracle,8,0.75,0.35,8,1.0,1.0,4.0,5.125,4.934720807639135,5.539601891283395,0.9914112380701681,410.0,0.004352836874999433,2.5
oracle,8,1.5,0.0,8,0.875,1.0,12.5,14.125,13.96432729576561,14.748815236524226,0.9560314536142034,1120.0,0.01162054962499992,5.125
oracle,8,1.5,0.35,8,1.0,1.0,13.0,13.875,14.88251625024024,15.101990298367205,0.9654559449644784,1110.0,0.011805797625001002,4.0
oracle,16,0.75,0.0,8,0.875,1.0,12.0,15.375,12.363722861826961,12.50133888343126,0.9593626620606348,1220.0,0.012383476625000167,5.75
oracle,16,0.75,0.35,8,0.875,0.875,14.5,16.875,11.008420909381384,16.265865122109783,0.9717144620360281,1340.0,0.013630553999998352,6.0
oracle,16,1.5,0.0,8,0.375,0.75,36.0,29.25,18.411224605169174,17.340497328144412,0.5746579893549311,2290.0,0.023174559874998835,5.25
oracle,16,1.5,0.35,8,0.375,0.875,36.0,29.125,18.76587855159883,18.79940801932732,0.7372590579828922,2280.0,0.023116085124999408,6.625
passive,8,0.75,0.0,8,0.0,0.125,36.0,36.0,44.74207148392245,43.22602469517811,0.125,0.0,0.0005265972499994831,0.0
passive,8,0.75,0.35,8,0.0,0.125,36.0,36.0,42.55151399475903,41.30207132903748,0.125,0.0,0.0005322156249998322,0.0
passive,8,1.5,0.0,8,0.0,0.125,36.0,36.0,44.74207148392245,43.22602469517811,0.125,0.0,0.00052150750000024,0.0
passive,8,1.5,0.35,8,0.0,0.125,36.0,36.0,42.55151399475903,41.30207132903748,0.125,0.0,0.0005188446249997369,0.0
passive,16,0.75,0.0,8,0.0,0.0,36.0,36.0,26.397697174145037,29.250184338360576,0.0625,0.0,0.0004949579999999898,0.0
passive,16,0.75,0.35,8,0.0,0.0,36.0,36.0,26.174465040299896,29.65169201335899,0.0625,0.0,0.0005322054999994386,0.0
passive,16,1.5,0.0,8,0.0,0.0,36.0,36.0,26.397697174145037,29.250184338360576,0.0625,0.0,0.0004938140000003699,0.0
