H,O,A,C,seed,discovered_classes,compression_fraction,pair_tp,pair_fp,pair_fn,pair_tn,pair_precision,pair_recall,accepted_certificates,mapping_errors,max_scale_relative_error,max_offset_error_z,certificate_comparisons,certificate_runtime_s
8,8,6,4,2088,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.01098892820730013,0.007852883093901416,26400,0.018470961999980773
8,8,6,4,2089,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.006429548092195647,0.006003795074528206,27600,0.0187128130000076
8,8,6,4,2090,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.0024614203086237296,0.004690637308614212,24000,0.016348329999999578
8,8,6,4,2091,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.0148997948613383,0.012069406883658457,26400,0.018522197999999435
8,8,6,4,2092,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.007703338977541052,0.013772036064784023,28800,0.019705692000002273
8,8,6,4,2093,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.02255004799999938
8,8,6,4,2094,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.006417971042017134,0.0036155718299463128,30000,0.019865097999996806
8,8,6,4,2095,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0007533522657279246,0.0005177157417529473,28800,0.019524544000006472
8,8,6,4,2096,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.022467394000017293
8,8,6,4,2097,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.004552444336401562,0.007365442833258923,27600,0.01863454600001546
8,8,6,4,2098,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.021423220010319155,7.671743604696024e-05,30000,0.02052987599998346
8,8,6,4,2099,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.0225863550000156
12,8,7,4,2000,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.0054615907665533925,0.003994318726606494,53592,0.01891054200001463
12,8,7,4,2001,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.002119321247382455,0.0011632028467876204,56028,0.01646856400000729
12,8,7,4,2002,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.0050750708971558645,0.003129749538565566,51156,0.018080075000000306
12,8,7,4,2003,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.0236071260000017
12,8,7,4,2004,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.011157537535203765,0.0005306557979948328,60900,0.02186873999997374
12,8,7,4,2005,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.01035530307131205,0.005411082756779553,46284,0.01681996800002139
12,8,7,4,2006,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.002117876215111947,0.0009531047850746293,56028,0.019404530999992176
12,8,7,4,2007,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.01989237728464932,0.008006251147522837,53592,0.01637953900001321
12,8,7,4,2008,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.004109698377186222,0.004880915191639602,58464,0.0202467490000231
12,8,7,4,2009,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.023415017999980137
12,8,7,4,2010,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0012040885458658446,0.0008340594369695721,58464,0.017003019000014774
12,8,7,4,2011,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0003087397094179156,0.0019685114037345628,56028,0.019525305000001936
12,8,7,4,2012,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.010769039714418449,0.005860201929667632,60900,0.021506714999986798
12,8,7,4,2013,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.023769228000020348
12,8,7,4,2014,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.004734986627593862,0.006492064365165912,53592,0.01932126599999151
12,8,7,4,2015,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.008095797623941747,0.008152128651925158,53592,0.019254953000000796
12,8,7,4,2016,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.0031267154833165556,0.001058446985768399,46284,0.017048052999996344
12,8,7,4,2017,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.023728662999985772
12,8,7,4,2018,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.011120567972280448,0.007199733972968266,60900,0.018460183000001962
12,8,7,4,2019,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.008286870644149902,0.005512974025112208,56028,0.01657243799999719
12,8,7,4,2020,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.004128824791700625,0.004550894984428396,48720,0.01720519600002035
12,8,7,4,2021,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.021478002518767747,0.005968677973895049,56028,0.019613159000016367
12,8,7,4,2022,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.016558219651900075,0.004875965892847553,56028,0.019337054999994052
12,8,7,4,2023,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.007383977827856603,0.0010121816546836302,58464,0.020471466999993027
12,8,7,4,2024,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.008200898046289318,0.005067958281813611,46284,0.016868368999979566
12,8,7,4,2025,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.02018864100000428
12,8,7,4,2026,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.012646314027987993,0.014612400016980574,46284,0.016827172000006385
12,8,7,4,2027,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.005533751268465781,0.006595472008371615,48720,0.017133612999998604
12,8,7,4,2028,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.002632808292834632,0.0030804777548212527,60900,0.021365952999985893
12,8,7,4,2029,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.00606335365990851,0.003305203902433613,60900,0.021039645000001883
12,8,7,4,2030,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.0034836644327799204,0.0007504714860975048,51156,0.018172235999998065
12,8,7,4,2031,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.013033405594022662,0.00569181124843883,51156,0.018038658000023133
12,8,7,4,2032,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0015450759092303645,0.0020372200931117607,56028,0.016989093000006505
12,8,7,4,2033,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.023457566796676765,0.00572751249132631,51156,0.018078360999993492
12,8,7,4,2034,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.004636248005045918,0.006714301106457044,46284,0.016771898999991208
12,8,7,4,2035,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.004295550407996895,0.010155368877540778,56028,0.017041751000022032
12,8,7,4,2036,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.015447459768633376,0.012245112493334244,56028,0.01923900299999559
12,8,7,4,2037,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0031449871614350755,0.0025179720072426377,58464,0.020461549000003743
12,8,7,4,2038,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.02318460999998706
12,8,7,4,2039,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.023464599999982738
12,8,7,4,2040,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.02345944099999997
12,8,7,4,2041,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.020047508000004655
12,8,7,4,2042,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.014124693063345406,0.0035409682167932854,58464,0.020443033999981708
