seed,policy,regime,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,lambda_stability,gamma_cost,ig_mode,budget,success_95,correct_argmax,n95,c95,total_cost,penalized_c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h
17,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,3,2.4307382351935836,2.4307382351935836,2.4307382351935836,0.9765042967648563,240,2,0.00011113800019302289,3
18,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,18,28.188321731164333,28.188321731164333,28.188321731164333,0.951792873876069,1440,7,0.00055099400015024,7
19,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,0,0,36,,61.2284341965335,96.2284341965335,0.17356772265776424,2800,9,0.001057579999724112,2
20,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,15,9.704456598555304,9.704456598555304,9.704456598555304,0.9773596560150803,1200,10,0.0004640420002033352,5
21,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,0,0,36,,29.576842107767376,64.57684210776738,0.01425110939770036,2800,10,0.0010771490001388884,2
22,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,14,10.898078213804379,10.898078213804379,10.898078213804379,0.9786071747310391,1120,2,0.0004648230001293996,7
23,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,16,25.583667641126034,25.583667641126034,25.583667641126034,0.9555386728275522,1280,8,0.000515719999839348,2
0,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,1,36,,35.0,70.0,0.8777860064269845,2800,0,0.0012126040001021465,8
1,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,1,36,,35.0,70.0,0.6373475776031953,2800,0,0.0010533329996178509,1
2,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,8,8.0,8.0,8.0,0.9563330522586718,640,0,0.00031271299985746737,7
3,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,0,36,,35.0,70.0,0.10495936104620482,2800,0,0.0012057940002705436,10
4,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,15,15.0,15.0,15.0,0.9707727209235929,1200,0,0.0004785740002262173,3
5,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,1,36,,35.0,70.0,0.7102967360826707,2800,0,0.0010609249998196901,9
6,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,13,13.0,13.0,13.0,0.9718898745093494,1040,0,0.0003978320000896929,1
7,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,1,36,,35.0,70.0,0.9079610668409096,2800,0,0.0010270239999954356,10
8,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,0,36,,35.0,70.0,0.16747039046550474,2800,0,0.0010654019997673458,8
9,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,0,36,,35.0,70.0,0.3929630519698309,2800,0,0.00103129999979501,10
10,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,13,13.0,13.0,13.0,0.9812272570907278,1040,0,0.000393766000343021,8
11,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,1,36,,35.0,70.0,0.6755097361676564,2800,0,0.001036196999848471,0
12,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,0,36,,35.0,70.0,0.412169917501621,2800,0,0.0010263829999530572,0
13,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,32,32.0,32.0,32.0,0.9631213566895839,2560,0,0.0009914199999911943,6
14,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,0,36,,35.0,70.0,0.108701993386842,2800,0,0.0010274740002387261,1
15,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,31,31.0,31.0,31.0,0.9668628920948001,2480,0,0.0009165369997390371,11
16,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,1,36,,35.0,70.0,0.9206971200977462,2800,0,0.0010319809998691198,1
17,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,18,18.0,18.0,18.0,0.9592566433460524,1440,0,0.0005610789999082044,3
18,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,0,36,,35.0,70.0,0.08350610030533781,2800,0,0.001026813999942533,7
19,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,0,36,,35.0,70.0,0.06295902094800175,2800,0,0.0010703789998842694,2
20,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,0,36,,35.0,70.0,0.21580255124027786,2800,0,0.00104822499997681,5
21,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,1,36,,35.0,70.0,0.9210975648907206,2800,0,0.0010408640000605374,2
22,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,1,36,,35.0,70.0,0.7592208885545163,2800,0,0.0010531739999350975,7
