seed,policy,regime,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,lambda_stability,gamma_cost,ig_mode,budget,success_95,correct_argmax,n95,c95,total_cost,penalized_c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h,condition
7003,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,4,3.819177836028385,3.819177836028385,3.819177836028385,0.9887453569773155,320,2,0.13423967099970469,7,informative_unstable
7004,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,3,9.603779343368453,9.603779343368453,9.603779343368453,0.9999999458640993,240,2,0.1085695140000098,0,informative_unstable
7004,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,3,9.603779343368453,9.603779343368453,9.603779343368453,0.9999999458640993,240,2,0.10844004699993093,0,informative_unstable
7005,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,8,8.113461771691485,8.113461771691485,8.113461771691485,0.9982615356254354,640,0,0.20702454899992517,7,informative_unstable
7005,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,8,8.113461771691485,8.113461771691485,8.113461771691485,0.9982615356254354,640,0,0.20654327099964576,7,informative_unstable
7006,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,3,4.099871542540202,4.099871542540202,4.099871542540202,0.98131473829717,240,1,0.09717705200000637,7,informative_unstable
7006,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,3,4.099871542540202,4.099871542540202,4.099871542540202,0.98131473829717,240,1,0.09632686600025409,7,informative_unstable
7007,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,10,13.124008695005926,13.124008695005926,13.124008695005926,0.9947591040615781,800,4,0.3551273289999699,6,informative_unstable
7007,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,10,13.124008695005926,13.124008695005926,13.124008695005926,0.9947591040615781,800,4,0.35832153599994854,6,informative_unstable
7008,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,0,0,36,,52.647845245989195,87.6478452459892,6.104641042364425e-05,2800,2,1.1184812129999955,3,informative_unstable
7008,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,0,0,36,,52.647845245989195,87.6478452459892,6.104641042364425e-05,2800,2,1.1209522010003639,3,informative_unstable
7009,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,33,35.19518692190836,35.19518692190836,35.19518692190836,0.9999997045285698,2640,14,1.0259801560000597,10,informative_unstable
7009,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,33,35.19518692190836,35.19518692190836,35.19518692190836,0.9999997045285698,2640,14,1.0260269669997797,10,informative_unstable
